HRR ID,HRR Name,State,Number of deaths among cancer patients (2012),Percent of cancer patients dying in hospital (2012),,,Percent of cancer patients admitted to hospital during the last month of life (2012 deaths),,,Hospital days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients admitted to intensive care during the last month of life (2012 deaths),,,ICU days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients receiving life-sustaining treatment during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last month of life (2012 deaths),,,Hospice days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last three days of life (2012 deaths),,,Percent of cancer patients seeing ten or more physicians during the last six months of life (2012 deaths),,
288,New Brunswick,NJ,886,31.1 ,27.5 ,35.1 ,68.1 ,62.8 ,73.9 ,6.0 ,5.6 ,6.4 ,40.8 ,36.7 ,45.4 ,2.5 ,2.2 ,2.7 ,13.8 ,11.5 ,16.6 ,54.1 ,49.5 ,59.2 ,7.8 ,7.0 ,8.5 ,10.3 ,8.3 ,12.7 ,78.8 ,73.2 ,84.8 
289,Newark,NJ,"1,097",33.0 ,29.7 ,36.7 ,68.4 ,63.6 ,73.6 ,6.2 ,5.8 ,6.5 ,41.6 ,37.9 ,45.7 ,2.5 ,2.3 ,2.7 ,17.3 ,15.0 ,20.0 ,50.7 ,46.7 ,55.2 ,7.2 ,6.5 ,7.8 ,10.4 ,8.6 ,12.6 ,73.6 ,68.7 ,78.8 
291,Paterson,NJ,313,28.9 ,23.5 ,35.6 ,62.7 ,54.5 ,72.2 ,5.7 ,5.1 ,6.3 ,29.5 ,24.0 ,36.2 ,1.5 ,1.1 ,1.9 ,12.1 ,8.8 ,16.8 ,58.3 ,50.4 ,67.4 ,7.6 ,6.4 ,8.9 ,13.3 ,9.8 ,18.0 ,71.8 ,63.0 ,81.9 
292,Ridgewood,NJ,415,38.4 ,32.8 ,45.1 ,65.1 ,57.7 ,73.4 ,5.8 ,5.2 ,6.3 ,25.6 ,21.1 ,31.1 ,1.3 ,0.9 ,1.6 ,16.5 ,12.9 ,21.2 ,45.3 ,39.3 ,52.2 ,6.4 ,5.3 ,7.4 ,7.6 ,5.3 ,10.7 ,79.5 ,71.3 ,88.6 
293,Albuquerque,NM,802,20.5 ,17.6 ,23.9 ,59.5 ,54.4 ,65.1 ,4.2 ,3.8 ,4.6 ,24.6 ,21.4 ,28.3 ,1.0 ,0.8 ,1.3 ,8.2 ,6.4 ,10.5 ,62.3 ,57.1 ,68.0 ,9.4 ,8.6 ,10.2 ,12.3 ,10.1 ,14.9 ,49.4 ,44.7 ,54.7 
295,Albany,NY,"1,585",28.9 ,26.3 ,31.7 ,61.7 ,57.9 ,65.7 ,5.4 ,5.1 ,5.7 ,19.4 ,17.3 ,21.7 ,0.8 ,0.6 ,0.9 ,7.1 ,5.9 ,8.6 ,54.3 ,50.8 ,58.0 ,8.3 ,7.7 ,8.8 ,8.9 ,7.6 ,10.5 ,71.0 ,66.9 ,75.3 
296,Binghamton,NY,380,31.8 ,26.5 ,38.0 ,63.4 ,55.8 ,71.9 ,5.4 ,4.8 ,6.0 ,19.1 ,15.2 ,24.1 ,0.8 ,0.4 ,1.2 ,8.4 ,5.9 ,12.0 ,54.0 ,47.1 ,61.9 ,8.2 ,7.0 ,9.3 ,9.3 ,6.7 ,12.9 ,64.4 ,56.8 ,73.1 
297,Bronx,NY,549,32.8 ,28.4 ,38.0 ,63.8 ,57.4 ,70.9 ,6.2 ,5.7 ,6.7 ,21.3 ,17.7 ,25.5 ,1.2 ,0.9 ,1.5 ,15.0 ,12.2 ,18.5 ,34.0 ,29.4 ,39.3 ,6.0 ,5.1 ,7.0 ,4.8 ,3.2 ,7.1 ,70.4 ,63.8 ,77.7 
299,Buffalo,NY,751,31.7 ,27.8 ,36.1 ,59.5 ,54.2 ,65.4 ,5.0 ,4.6 ,5.4 ,22.0 ,18.8 ,25.7 ,0.9 ,0.6 ,1.1 ,10.3 ,8.2 ,13.0 ,49.3 ,44.5 ,54.6 ,7.8 ,7.0 ,8.6 ,7.0 ,5.3 ,9.2 ,66.1 ,60.5 ,72.2 
300,Elmira,NY,349,30.7 ,25.3 ,37.3 ,63.1 ,55.2 ,72.1 ,5.9 ,5.3 ,6.5 ,20.1 ,15.8 ,25.5 ,0.9 ,0.5 ,1.3 ,7.0 ,4.6 ,10.6 ,45.2 ,38.7 ,52.8 ,7.1 ,5.9 ,8.2 ,8.3 ,5.8 ,12.0 ,66.3 ,58.3 ,75.5 
301,East Long Island,NY,"3,814",33.4 ,31.5 ,35.4 ,67.9 ,65.3 ,70.7 ,6.5 ,6.3 ,6.6 ,23.4 ,21.8 ,25.0 ,1.1 ,1.0 ,1.2 ,14.1 ,12.9 ,15.4 ,52.0 ,49.8 ,54.4 ,7.2 ,6.8 ,7.5 ,10.1 ,9.1 ,11.1 ,79.5 ,76.7 ,82.5 
303,Manhattan,NY,"2,923",38.3 ,36.0 ,40.7 ,66.5 ,63.5 ,69.6 ,6.5 ,6.2 ,6.7 ,20.4 ,18.8 ,22.2 ,0.9 ,0.8 ,1.1 ,16.7 ,15.2 ,18.3 ,41.7 ,39.4 ,44.2 ,6.2 ,5.8 ,6.6 ,6.6 ,5.7 ,7.7 ,72.6 ,69.5 ,75.8 
304,Rochester,NY,569,19.2 ,15.9 ,23.2 ,57.9 ,51.9 ,64.5 ,4.6 ,4.1 ,5.0 ,18.6 ,15.3 ,22.5 ,0.7 ,0.4 ,1.0 ,7.7 ,5.7 ,10.5 ,64.9 ,58.6 ,71.9 ,8.8 ,7.9 ,9.7 ,16.1 ,13.1 ,19.8 ,55.7 ,49.7 ,62.3 
307,Syracuse,NY,930,34.3 ,30.7 ,38.4 ,58.5 ,53.7 ,63.6 ,5.3 ,4.9 ,5.7 ,20.3 ,17.5 ,23.4 ,0.7 ,0.5 ,0.9 ,7.7 ,6.0 ,9.8 ,45.1 ,41.0 ,49.6 ,7.7 ,6.9 ,8.4 ,5.3 ,4.0 ,7.0 ,61.4 ,56.5 ,66.7 
308,White Plains,NY,994,30.6 ,27.3 ,34.4 ,65.1 ,60.2 ,70.4 ,5.8 ,5.5 ,6.2 ,26.1 ,23.0 ,29.6 ,1.2 ,0.9 ,1.4 ,10.5 ,8.6 ,12.8 ,40.4 ,36.6 ,44.5 ,6.0 ,5.3 ,6.7 ,7.0 ,5.5 ,8.9 ,78.5 ,73.1 ,84.2 
309,Asheville,NC,587,15.6 ,12.7 ,19.2 ,55.8 ,50.1 ,62.1 ,3.6 ,3.1 ,4.0 ,23.2 ,19.6 ,27.5 ,1.0 ,0.7 ,1.3 ,4.9 ,3.4 ,7.1 ,71.2 ,64.7 ,78.4 ,11.5 ,10.6 ,12.4 ,9.3 ,7.2 ,12.1 ,56.6 ,50.7 ,63.2 
311,Charlotte,NC,"1,680",18.9 ,17.0 ,21.1 ,57.9 ,54.4 ,61.7 ,4.3 ,4.0 ,4.6 ,30.0 ,27.5 ,32.7 ,1.4 ,1.2 ,1.6 ,9.0 ,7.7 ,10.5 ,70.3 ,66.3 ,74.5 ,11.3 ,10.7 ,11.8 ,10.4 ,8.9 ,12.1 ,64.8 ,61.0 ,68.8 
312,Durham,NC,"1,075",23.2 ,20.5 ,26.2 ,60.7 ,56.3 ,65.6 ,4.7 ,4.3 ,5.0 ,28.7 ,25.7 ,32.0 ,1.2 ,1.0 ,1.4 ,10.2 ,8.5 ,12.2 ,63.7 ,59.0 ,68.7 ,10.8 ,10.1 ,11.4 ,8.3 ,6.7 ,10.3 ,63.2 ,58.5 ,68.2 
313,Greensboro,NC,353,23.3 ,18.8 ,28.9 ,55.3 ,48.1 ,63.7 ,4.1 ,3.5 ,4.6 ,23.5 ,18.9 ,29.2 ,0.7 ,0.3 ,1.1 ,6.3 ,4.2 ,9.4 ,65.4 ,57.5 ,74.5 ,11.7 ,10.5 ,12.8 ,7.3 ,4.9 ,10.8 ,60.7 ,53.1 ,69.4 
314,Greenville,NC,843,29.9 ,26.5 ,33.7 ,65.4 ,60.2 ,71.1 ,5.1 ,4.7 ,5.5 ,29.1 ,25.7 ,32.9 ,1.2 ,1.0 ,1.4 ,7.6 ,6.0 ,9.6 ,55.6 ,50.7 ,61.0 ,8.9 ,8.2 ,9.6 ,7.5 ,5.8 ,9.7 ,56.5 ,51.7 ,61.9 
315,Hickory,NC,236,17.2 ,12.7 ,23.2 ,58.1 ,49.3 ,68.5 ,4.3 ,3.6 ,5.0 ,23.0 ,17.7 ,29.8 ,0.8 ,0.4 ,1.3 ,6.4 ,3.9 ,10.4 ,76.1 ,65.6 ,88.2 ,12.3 ,10.9 ,13.7 ,12.7 ,8.9 ,18.0 ,51.2 ,42.8 ,61.4 
318,Raleigh,NC,"1,417",28.0 ,25.4 ,30.9 ,63.1 ,59.1 ,67.4 ,5.0 ,4.7 ,5.3 ,31.6 ,28.8 ,34.6 ,1.6 ,1.4 ,1.8 ,9.4 ,8.0 ,11.1 ,61.7 ,57.7 ,66.0 ,9.5 ,8.9 ,10.1 ,9.7 ,8.1 ,11.5 ,63.2 ,59.2 ,67.5 
319,Wilmington,NC,462,19.8 ,16.2 ,24.2 ,56.9 ,50.4 ,64.1 ,4.3 ,3.8 ,4.8 ,20.9 ,17.2 ,25.4 ,0.8 ,0.4 ,1.1 ,7.9 ,5.8 ,10.8 ,70.5 ,63.2 ,78.7 ,12.8 ,11.8 ,13.9 ,7.7 ,5.5 ,10.7 ,66.0 ,58.9 ,73.8 
320,Winston-Salem,NC,727,21.8 ,18.6 ,25.4 ,53.7 ,48.6 ,59.3 ,4.6 ,4.2 ,5.0 ,23.7 ,20.4 ,27.5 ,1.0 ,0.8 ,1.3 ,8.9 ,7.0 ,11.3 ,67.6 ,61.8 ,73.9 ,11.9 ,11.1 ,12.7 ,7.6 ,5.8 ,9.9 ,54.4 ,49.3 ,60.1 
321,Bismarck,ND,224,27.7 ,21.6 ,35.6 ,60.7 ,51.3 ,71.9 ,4.8 ,4.0 ,5.5 ,12.5 ,8.6 ,18.2 ,0.4 ,,0.9 ,8.8 ,5.6 ,13.8 ,41.2 ,33.6 ,50.5 ,6.7 ,5.3 ,8.1 ,6.6 ,4.0 ,10.9 ,56.6 ,47.6 ,67.5 
322,Fargo/Moorhead MN,ND,346,31.1 ,25.7 ,37.7 ,55.6 ,48.3 ,64.0 ,4.1 ,3.5 ,4.7 ,16.0 ,12.3 ,20.9 ,0.6 ,0.2 ,0.9 ,5.0 ,3.0 ,8.1 ,49.7 ,42.9 ,57.7 ,9.4 ,8.2 ,10.6 ,4.5 ,2.8 ,7.3 ,46.2 ,39.5 ,54.2 
323,Grand Forks,ND,127,20.6 ,14.0 ,30.2 ,54.0 ,42.7 ,68.4 ,4.2 ,3.3 ,5.2 ,10.2 ,5.9 ,17.6 ,0.3 ,,0.9 ,,,,51.7 ,40.6 ,65.8 ,9.4 ,7.5 ,11.3 ,,,,51.1 ,40.0 ,65.3 
324,Minot,ND,114,33.2 ,24.3 ,45.5 ,66.6 ,53.4 ,83.0 ,4.1 ,3.0 ,5.1 ,18.8 ,12.4 ,28.6 ,0.4 ,,1.1 ,,,,34.4 ,25.1 ,47.1 ,4.4 ,2.4 ,6.5 ,10.0 ,5.7 ,17.7 ,34.0 ,24.5 ,47.1 
325,Akron,OH,389,20.7 ,16.6 ,25.7 ,61.4 ,54.0 ,69.8 ,5.0 ,4.5 ,5.6 ,32.6 ,27.4 ,38.8 ,1.6 ,1.2 ,1.9 ,9.5 ,6.9 ,13.1 ,69.4 ,61.5 ,78.2 ,11.2 ,10.1 ,12.3 ,9.4 ,6.8 ,13.0 ,68.8 ,61.1 ,77.5 
326,Canton,OH,377,18.7 ,14.8 ,23.6 ,59.5 ,52.2 ,67.9 ,4.4 ,3.8 ,5.0 ,35.0 ,29.6 ,41.6 ,1.8 ,1.4 ,2.2 ,8.8 ,6.2 ,12.3 ,67.9 ,60.0 ,76.7 ,10.1 ,9.0 ,11.3 ,13.5 ,10.2 ,17.7 ,57.2 ,50.1 ,65.3 
327,Cincinnati,OH,991,13.3 ,11.2 ,15.8 ,59.7 ,55.0 ,64.8 ,4.2 ,3.9 ,4.6 ,25.8 ,22.8 ,29.1 ,1.2 ,1.0 ,1.4 ,9.5 ,7.7 ,11.7 ,78.0 ,72.7 ,83.8 ,11.3 ,10.6 ,12.0 ,15.4 ,13.1 ,18.1 ,59.7 ,55.0 ,64.7 
328,Cleveland,OH,"1,654",16.8 ,14.9 ,19.0 ,61.5 ,57.7 ,65.4 ,4.6 ,4.4 ,4.9 ,32.2 ,29.6 ,35.1 ,1.5 ,1.4 ,1.7 ,10.6 ,9.1 ,12.3 ,72.8 ,68.8 ,77.1 ,10.6 ,10.0 ,11.1 ,13.8 ,12.1 ,15.8 ,67.4 ,63.5 ,71.5 
329,Columbus,OH,"1,825",18.1 ,16.2 ,20.2 ,60.1 ,56.6 ,63.8 ,4.1 ,3.9 ,4.4 ,28.5 ,26.1 ,31.0 ,1.2 ,1.0 ,1.3 ,10.9 ,9.5 ,12.6 ,68.2 ,64.5 ,72.2 ,10.2 ,9.7 ,10.7 ,11.8 ,10.4 ,13.5 ,60.1 ,56.6 ,63.8 
330,Dayton,OH,765,17.5 ,14.8 ,20.8 ,60.2 ,54.9 ,66.0 ,4.7 ,4.3 ,5.1 ,32.1 ,28.3 ,36.4 ,1.7 ,1.5 ,2.0 ,12.8 ,10.5 ,15.7 ,69.7 ,64.0 ,75.9 ,9.8 ,9.0 ,10.6 ,14.4 ,11.9 ,17.4 ,62.0 ,56.6 ,67.8 
331,Elyria,OH,223,20.2 ,15.0 ,27.1 ,66.8 ,56.7 ,78.6 ,5.2 ,4.5 ,6.0 ,40.1 ,32.5 ,49.4 ,2.2 ,1.7 ,2.7 ,13.6 ,9.5 ,19.5 ,65.9 ,56.1 ,77.5 ,9.8 ,8.4 ,11.3 ,13.1 ,9.1 ,18.9 ,69.9 ,59.9 ,81.6 
332,Kettering,OH,269,15.2 ,11.2 ,20.6 ,54.2 ,46.0 ,63.8 ,4.2 ,3.5 ,4.8 ,25.5 ,20.1 ,32.3 ,1.2 ,0.8 ,1.7 ,9.9 ,6.8 ,14.6 ,76.6 ,66.8 ,87.8 ,12.2 ,10.9 ,13.5 ,12.2 ,8.7 ,17.2 ,63.1 ,54.4 ,73.3 
334,Toledo,OH,726,17.3 ,14.5 ,20.6 ,58.2 ,52.8 ,64.1 ,4.1 ,3.7 ,4.5 ,30.3 ,26.6 ,34.6 ,1.7 ,1.5 ,2.0 ,9.5 ,7.5 ,12.1 ,73.5 ,67.5 ,80.0 ,11.5 ,10.7 ,12.3 ,11.1 ,8.9 ,13.9 ,62.5 ,57.1 ,68.5 
335,Youngstown,OH,532,21.3 ,17.7 ,25.7 ,65.7 ,59.1 ,73.1 ,5.1 ,4.6 ,5.5 ,41.7 ,36.5 ,47.7 ,2.2 ,1.9 ,2.5 ,13.2 ,10.4 ,16.8 ,65.2 ,58.7 ,72.5 ,9.2 ,8.3 ,10.1 ,13.5 ,10.7 ,17.1 ,61.7 ,55.3 ,68.7 
336,Lawton,OK,223,23.6 ,18.0 ,30.9 ,59.8 ,50.4 ,71.0 ,4.5 ,3.8 ,5.2 ,24.9 ,19.2 ,32.4 ,0.8 ,0.3 ,1.2 ,12.0 ,8.2 ,17.5 ,58.9 ,49.6 ,70.0 ,10.3 ,8.9 ,11.8 ,8.6 ,5.5 ,13.4 ,34.9 ,28.1 ,43.4 
339,Oklahoma City,OK,"1,505",24.9 ,22.5 ,27.6 ,59.6 ,55.8 ,63.7 ,4.4 ,4.1 ,4.7 ,25.5 ,23.1 ,28.2 ,1.1 ,0.9 ,1.3 ,7.1 ,5.9 ,8.6 ,63.7 ,59.8 ,67.9 ,10.3 ,9.7 ,10.8 ,10.3 ,8.8 ,12.1 ,41.1 ,38.0 ,44.5 
340,Tulsa,OK,"1,085",23.3 ,20.6 ,26.3 ,63.3 ,58.7 ,68.2 ,4.8 ,4.4 ,5.1 ,31.2 ,28.1 ,34.7 ,1.4 ,1.2 ,1.7 ,10.5 ,8.8 ,12.6 ,66.1 ,61.4 ,71.1 ,10.2 ,9.6 ,10.9 ,11.1 ,9.3 ,13.2 ,52.7 ,48.5 ,57.3 
341,Bend,OR,134,14.8 ,9.6 ,23.0 ,43.1 ,33.3 ,55.7 ,2.3 ,1.4 ,3.3 ,17.8 ,11.9 ,26.6 ,0.5 ,,1.1 ,,,,79.4 ,65.7 ,96.0 ,14.7 ,12.8 ,16.6 ,,,,44.9 ,34.8 ,58.0 
342,Eugene,OR,483,20.2 ,16.6 ,24.6 ,54.0 ,47.9 ,60.8 ,3.4 ,2.9 ,3.9 ,26.7 ,22.5 ,31.7 ,1.0 ,0.7 ,1.3 ,3.2 ,1.9 ,5.3 ,64.1 ,57.3 ,71.6 ,10.6 ,9.7 ,11.6 ,7.8 ,5.7 ,10.7 ,39.1 ,33.8 ,45.3 
343,Medford,OR,418,21.5 ,17.5 ,26.4 ,55.7 ,49.1 ,63.3 ,3.3 ,2.8 ,3.9 ,19.9 ,16.1 ,24.6 ,0.6 ,0.3 ,1.0 ,7.5 ,5.3 ,10.7 ,62.5 ,55.4 ,70.6 ,10.3 ,9.3 ,11.4 ,10.5 ,7.9 ,14.0 ,39.1 ,33.4 ,45.8 
344,Portland,OR,"1,006",20.6 ,18.0 ,23.6 ,58.6 ,54.0 ,63.5 ,3.6 ,3.2 ,3.9 ,19.2 ,16.7 ,22.1 ,0.6 ,0.4 ,0.8 ,5.4 ,4.1 ,7.1 ,67.5 ,62.6 ,72.8 ,11.1 ,10.4 ,11.8 ,9.8 ,8.0 ,11.9 ,46.2 ,42.1 ,50.8 
345,Salem,OR,113,16.6 ,10.6 ,26.1 ,57.0 ,44.7 ,72.7 ,3.9 ,2.9 ,5.0 ,29.8 ,21.3 ,41.8 ,1.5 ,0.8 ,2.2 ,11.6 ,6.7 ,20.0 ,72.5 ,58.4 ,90.0 ,11.1 ,9.1 ,13.1 ,13.9 ,8.5 ,22.7 ,54.5 ,42.3 ,70.3 
346,Allentown,PA,"1,163",19.9 ,17.5 ,22.8 ,62.0 ,57.5 ,66.7 ,4.8 ,4.5 ,5.2 ,35.2 ,31.8 ,38.8 ,1.7 ,1.5 ,1.9 ,9.9 ,8.2 ,12.0 ,61.0 ,56.7 ,65.7 ,8.8 ,8.1 ,9.4 ,13.1 ,11.1 ,15.3 ,75.7 ,70.9 ,81.0 
347,Altoona,PA,178,21.1 ,15.4 ,29.0 ,58.2 ,48.0 ,70.5 ,4.3 ,3.5 ,5.2 ,24.6 ,18.3 ,33.0 ,1.0 ,0.5 ,1.5 ,7.4 ,4.3 ,12.8 ,60.7 ,50.3 ,73.3 ,9.8 ,8.2 ,11.4 ,10.4 ,6.7 ,16.4 ,56.9 ,46.9 ,69.1 
350,Danville,PA,397,21.1 ,17.0 ,26.2 ,56.1 ,49.2 ,64.0 ,4.2 ,3.7 ,4.8 ,26.6 ,22.0 ,32.3 ,1.1 ,0.7 ,1.4 ,5.1 ,3.2 ,7.9 ,59.6 ,52.5 ,67.7 ,10.2 ,9.1 ,11.3 ,7.5 ,5.2 ,10.7 ,63.5 ,56.0 ,72.0 
351,Erie,PA,607,23.1 ,19.5 ,27.3 ,60.3 ,54.4 ,66.8 ,4.3 ,3.9 ,4.8 ,26.1 ,22.4 ,30.6 ,1.0 ,0.7 ,1.3 ,8.3 ,6.3 ,11.0 ,56.0 ,50.4 ,62.3 ,8.6 ,7.7 ,9.5 ,8.1 ,6.1 ,10.7 ,54.2 ,48.6 ,60.4 
352,Harrisburg,PA,712,19.8 ,16.7 ,23.5 ,61.9 ,56.3 ,67.9 ,4.8 ,4.4 ,5.2 ,30.5 ,26.7 ,35.0 ,1.2 ,0.9 ,1.4 ,8.9 ,6.9 ,11.5 ,62.1 ,56.6 ,68.2 ,9.4 ,8.6 ,10.3 ,11.4 ,9.1 ,14.1 ,70.5 ,64.5 ,77.1 
354,Johnstown,PA,105,26.1 ,17.7 ,38.7 ,64.3 ,50.4 ,82.0 ,5.2 ,4.1 ,6.3 ,19.4 ,12.4 ,30.4 ,1.0 ,0.3 ,1.7 ,,,,59.5 ,46.6 ,75.9 ,9.7 ,7.6 ,11.8 ,10.7 ,5.9 ,19.3 ,61.4 ,47.9 ,78.6 
355,Lancaster,PA,491,16.8 ,13.5 ,20.9 ,53.9 ,47.7 ,60.9 ,4.0 ,3.5 ,4.5 ,24.0 ,20.0 ,28.8 ,1.0 ,0.7 ,1.3 ,7.3 ,5.2 ,10.3 ,71.1 ,64.0 ,78.9 ,11.7 ,10.8 ,12.7 ,10.0 ,7.5 ,13.2 ,71.4 ,64.3 ,79.3 
356,Philadelphia,PA,"2,879",21.3 ,19.6 ,23.0 ,64.4 ,61.5 ,67.5 ,5.2 ,5.0 ,5.4 ,43.9 ,41.5 ,46.5 ,2.4 ,2.2 ,2.5 ,13.4 ,12.0 ,14.8 ,67.3 ,64.3 ,70.4 ,9.1 ,8.7 ,9.5 ,15.1 ,13.7 ,16.7 ,75.8 ,72.6 ,79.1 
357,Pittsburgh,PA,"1,744",21.8 ,19.7 ,24.1 ,66.0 ,62.2 ,70.0 ,5.1 ,4.8 ,5.3 ,28.7 ,26.2 ,31.4 ,1.3 ,1.1 ,1.5 ,10.5 ,9.0 ,12.2 ,62.1 ,58.4 ,65.9 ,8.2 ,7.7 ,8.8 ,12.8 ,11.2 ,14.6 ,66.6 ,62.8 ,70.6 
358,Reading,PA,513,26.2 ,22.0 ,31.2 ,62.9 ,56.3 ,70.3 ,4.5 ,4.1 ,5.0 ,27.0 ,22.8 ,32.1 ,0.9 ,0.6 ,1.3 ,8.3 ,6.0 ,11.4 ,54.3 ,48.3 ,61.0 ,7.7 ,6.8 ,8.7 ,10.2 ,7.8 ,13.4 ,72.7 ,65.7 ,80.5 
359,Sayre,PA,181,28.8 ,21.9 ,37.8 ,60.6 ,50.2 ,73.0 ,5.2 ,4.3 ,6.0 ,19.2 ,13.8 ,26.8 ,0.7 ,0.1 ,1.2 ,8.4 ,5.1 ,14.0 ,50.1 ,40.8 ,61.6 ,8.8 ,7.2 ,10.4 ,,,,62.2 ,51.7 ,75.0 
360,Scranton,PA,375,17.5 ,13.7 ,22.3 ,66.4 ,58.6 ,75.3 ,4.9 ,4.3 ,5.5 ,23.1 ,18.7 ,28.5 ,1.0 ,0.6 ,1.3 ,9.6 ,6.9 ,13.4 ,68.2 ,60.3 ,77.1 ,8.6 ,7.4 ,9.7 ,13.8 ,10.5 ,18.1 ,65.4 ,57.7 ,74.1 
362,Wilkes-Barre,PA,287,22.8 ,17.7 ,29.3 ,63.8 ,55.0 ,73.9 ,5.0 ,4.4 ,5.7 ,27.5 ,21.9 ,34.5 ,1.2 ,0.8 ,1.6 ,13.4 ,9.6 ,18.8 ,55.4 ,47.5 ,64.7 ,6.6 ,5.4 ,7.9 ,13.8 ,10.1 ,18.9 ,70.0 ,61.0 ,80.2 
363,York,PA,299,18.4 ,14.0 ,24.0 ,53.6 ,45.8 ,62.6 ,4.0 ,3.4 ,4.7 ,22.2 ,17.4 ,28.4 ,1.1 ,0.7 ,1.5 ,6.8 ,4.3 ,10.6 ,59.4 ,51.3 ,68.7 ,9.0 ,7.7 ,10.3 ,8.3 ,5.6 ,12.3 ,66.6 ,57.9 ,76.6 
364,Providence,RI,741,20.2 ,17.1 ,23.8 ,62.6 ,57.0 ,68.6 ,4.8 ,4.4 ,5.2 ,20.3 ,17.2 ,23.9 ,0.8 ,0.6 ,1.1 ,9.8 ,7.7 ,12.5 ,68.0 ,62.3 ,74.2 ,9.1 ,8.3 ,9.9 ,13.2 ,10.8 ,16.1 ,67.4 ,61.6 ,73.7 
365,Charleston,SC,957,25.3 ,22.3 ,28.6 ,61.9 ,57.1 ,67.1 ,4.8 ,4.4 ,5.1 ,30.5 ,27.2 ,34.2 ,1.3 ,1.1 ,1.6 ,9.9 ,8.2 ,12.1 ,67.5 ,62.4 ,72.9 ,10.9 ,10.2 ,11.6 ,8.7 ,7.0 ,10.8 ,59.3 ,54.6 ,64.5 
366,Columbia,SC,970,24.3 ,21.4 ,27.5 ,62.5 ,57.7 ,67.6 ,5.3 ,5.0 ,5.7 ,29.2 ,26.1 ,32.8 ,1.5 ,1.2 ,1.7 ,10.7 ,8.9 ,12.9 ,61.9 ,57.1 ,67.2 ,9.4 ,8.7 ,10.1 ,11.2 ,9.3 ,13.6 ,50.2 ,45.9 ,54.9 
